class,hash,time,token,type,from,to,USDAmount,priority,fee
VALIDATING,0x2e3ebc73c6e2f7c32fb8042f59d672020abc005961e61695d20767c685e6d1ad,1762969171389,-,tokenDelegate,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,-,-,-1,0
VALIDATING,0xf0ee84cbe4f3e65cf268042f59d4ad0203de00b17ff7052f94b7301ea3f7c047,1762969133902,-,tokenDelegate,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,-,-,-1,0
VALIDATING,0x9c2e77828db4bf269da8042f59d41e020755006828b7ddf83ff722d54cb89911,1762969121817,-,tokenDelegate,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,-,-,-1,0
VALIDATING,0x49f03edcba0114114b69042f59d3650204bf00c2550432e3edb8ea2f7904edfb,1762969106996,-,tokenDelegate,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,-,-,-1,0
DEPOSIT,0x99a60128f456d21f9b1f042f59d0b8020acd000e8f59f0f13d6eac7bb35aac0a,1762969050338,HYPE,cStakingTransfer,Spot,Staking,-,0,0
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762549217022,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762547086015,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762546807092,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762546450024,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762546266017,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762545926187,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762545842017,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762545434041,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762544984012,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762544764076,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762544536056,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762507341047,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762507113050,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762506722037,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762506485043,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762504853075,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762504109006,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762503968036,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762503530061,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762503041045,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762502384024,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762502208003,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762500791017,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1762500703016,HYPE,Twap,0xffffffffffffffffffffffffffffffffffffffff,0x5aeb1821f596d2d9ffe182d3f914b274a80511cc,,,
