class,hash,time,token,type,amount,from,to,px
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1763467454048,HYPE-USD,Twap,95983.03999999998,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,41.049332272716924
SPOT,0x0000000000000000000000000000000000000000000000000000000000000000,1763459944030,UXPL,Twap,1499526.3000000005,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,0.2559509708520224
PERP,0x6b8136121eb956ba6cfa042fb1bfce02047500f7b9bc758c0f49e164ddbd30a5,1763437905025,ETH-USD,Open Long,80.8472,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd4e58139523f42dcd65f042fb1bfce02046d001eed3261ae78ae2c8c11331cc7,1763437905025,ETH-USD,Open Long,6.7842,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x22120a9e38ae0061238b042fb1bfce02046c0083d3a11f33c5dab5f0f7a1da4b,1763437905025,ETH-USD,Open Long,44.3889,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x6f3e94031f1cbde570b8042fb1bfce02046b00e8ba1fdcb713073f55de1097d0,1763437905025,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xf11d42fb9f46717af296042fb1bfce02046600e13a49904d94e5ee4e5e4a4b65,1763437905025,ETH-USD,Open Long,224.2222,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x3e49cc6085b52eff3fc3042fb1bfce020465004620b84dd1e21277b344b908e9,1763437905025,ETH-USD,Open Long,0.8462,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x777ef0a0e370fc3578f8042fb1bfcd02046600867e741b071b479bf3a274d620,1763437904923,ETH-USD,Open Long,0.58,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xc4ab7a05c9efb9b9c625042fb1bfcd02046500eb64e2d88b6874255888e393a4,1763437904923,ETH-USD,Open Long,4.504,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x7f9585ef22c71c02810f042fb1bfbf0203e900d4bdca3ad4235e3141e1caf5ed,1763437904025,ETH-USD,Open Long,0.0045,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd771d1a2c7d75db2d8eb042fb1bf8602023f008862da7c847b3a7cf586db379d,1763437899456,ETH-USD,Open Long,0.0601,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xfaebf0d1837e5f7ffc65042fb1bf810204e200b71e717e529eb49c244272396a,1763437899120,ETH-USD,Open Long,0.0117,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1763437899057,ETH-USD,Open Long,0.0041,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x8e4381e101af49f48fbd042fb1bf670203a501029ca268c6320c2d33c0a323df,1763437897109,ETH-USD,Open Long,0.1652,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xcb56c85595ee9e4dccd0042fb1bf670203a3003b30e1bd1f6f1f73a854e27838,1763437897109,ETH-USD,Open Long,0.4139,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xb52d46b7941326c8b6a7042fb1bf640203cd009d2f16459a58f5f20a531700b3,1763437896907,ETH-USD,Open Long,0.0905,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x39070a3d0cddb4993a80042fb1bf0c0202f10022a7d0d36bdccfb58fcbd18e83,1763437889940,ETH-USD,Open Long,0.6341,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xae0e13f724ff28b7af87042fb1bef502067600dcbff2478951d6bf49e3f302a2,1763437888143,ETH-USD,Open Long,0.9917,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x24756471799593c825ef042fb1bef402021500571498b29ac83e0fc438996db2,1763437888046,ETH-USD,Open Long,0.9914,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x15adc0984b1116e11727042fb1bed70205310101e61435b3b9766beb0a14f0cb,1763437885533,ETH-USD,Open Long,0.1653,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xa337bbe34943c7f0a4b1042fb1bed702051900c8e446e6c2470067360847a1db,1763437885533,ETH-USD,Open Long,1.926,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0a1282ce00d384b00b8c042fb1bed5020d8400b39bd6a382addb2e20bfd75e9a,1763437885389,ETH-USD,Open Long,0.0601,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xceaba771984186b7d025042fb1bed40204d800573344a589727452c4574560a2,1763437885335,ETH-USD,Open Long,0.0079,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x035dcd05320c7cc904d7042fb1bed40204d400eacd0f9b9ba7267857f10056b3,1763437885335,ETH-USD,Open Long,0.0601,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x10503e672033b92f11c9042fb1bed00205c3004cbb36d801b418e9b9df379319,1763437885088,ETH-USD,Open Long,0.0474,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x97a68115be6268ad9920042fb1becc0209b200fb5965877f3b6f2c687d664298,1763437884829,ETH-USD,Open Long,0.2165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1985300e3e9c1c431afe042fb1becc0209ad00f3d99f3b15bd4ddb60fd9ff62d,1763437884829,ETH-USD,Open Long,0.0044,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
