id,snapshot_time,coin,mark_px,oracle_px,prev_day_px,funding_8h,open_interest,open_interest_usd,day_ntl_vlm,premium
10505958,2026-02-11T00:02:02.671551,HYPE,29.018,29.016,31.405,1.25e-05,23903002.82,693617335.83076,209295780.11629,1.72319e-05
10506148,2026-02-11T00:04:04.041600,HYPE,29.161,29.16,31.405,1.25e-05,23893558.0,696760044.838,209953357.90081,0.0
10506338,2026-02-11T00:05:04.181318,HYPE,29.08,29.074,31.325,1.25e-05,23909655.32,695292776.7056,209431162.85475,0.0
10506528,2026-02-11T00:51:11.588798,HYPE,28.797,28.8,31.322,1.25e-05,23997322.0,691050881.634,223602313.48931,-0.0004513889
10506718,2026-02-11T00:53:13.105062,HYPE,28.787,28.791,31.322,1.25e-05,24000895.22,690913770.698141,223841304.59231,-4.5153e-05
10506908,2026-02-11T00:55:14.605906,HYPE,28.775,28.778,31.322,1.25e-05,24007511.62,690816146.8655,224203972.33931,-0.0001216207
10507098,2026-02-11T01:20:50.521066,HYPE,28.894,28.886,31.034,1.25e-05,24048996.66,694871709.49404,225123665.7681,7.96233e-05
10507288,2026-02-12T21:46:03.837024,HYPE,29.491,29.5,29.971,1.25e-05,23615751.94,696452140.46254,262010918.32481,-0.000779661
10507479,2026-02-12T21:49:03.726758,HYPE,29.442,29.443,29.971,1.25e-05,23615360.72,695283450.31824,262148237.60641,0.0
10507670,2026-02-12T21:50:03.685587,HYPE,29.45,29.456,30.039,1.25e-05,23616206.5,695497281.425,258318216.69398,-5.77132e-05
10507861,2026-02-12T21:51:03.373006,HYPE,29.397,29.401,30.039,1.25e-05,23616825.4,694263816.2838,258398482.91223,-0.0003027108
10508052,2026-02-12T21:52:02.250468,HYPE,29.395,29.401,30.039,1.25e-05,23617275.06,694229800.3887,258582375.68368,-0.0002074759
10508243,2026-02-12T21:53:02.114093,HYPE,29.383,29.384,30.039,1.25e-05,23617055.2,693939932.9416,258661891.84408,0.0
10508434,2026-02-12T21:54:03.217881,HYPE,29.38,29.387,30.039,1.25e-05,23619330.78,693935938.316401,258726651.06608,0.0
10508625,2026-02-12T21:55:02.170321,HYPE,29.408,29.414,30.039,1.25e-05,23621578.74,694663387.58592,258886874.39498,0.0
10508816,2026-02-12T21:56:04.953533,HYPE,29.428,29.434,30.039,1.25e-05,23621293.24,695127417.46672,258947231.48823,0.0009173065
10509007,2026-02-12T21:57:01.686844,HYPE,29.488,29.493,30.039,1.25e-05,23621284.3,696544431.4384,259002297.76838,-0.0001017191
10509198,2026-02-12T21:58:01.740559,HYPE,29.567,29.576,30.039,1.25e-05,23622667.2,698451401.1024,259210348.41958,-0.0002366784
10509389,2026-02-12T21:59:02.429795,HYPE,29.615,29.62,30.039,1.25e-05,23628639.56,699762160.569399,259648162.76118,0.0
10509580,2026-02-12T22:00:02.899415,HYPE,29.698,29.704,30.039,1.25e-05,23629780.08,701757208.81584,259950247.35314,0.0
10509771,2026-02-12T22:01:03.290651,HYPE,29.748,29.76,30.039,1.25e-05,23636610.32,703141883.79936,260238352.69633,0.000218414
10509962,2026-02-12T22:02:03.884665,HYPE,29.704,29.709,30.039,1.25e-05,23637240.0,702120576.960001,260429437.94096,-7.74176e-05
10510153,2026-02-12T22:03:01.466738,HYPE,29.73,29.738,30.039,1.25e-05,23630167.06,702524866.693801,260793409.43948,0.0002017621
10510344,2026-02-12T22:04:02.034988,HYPE,29.751,29.767,30.039,1.25e-05,23636193.54,703200394.008541,260948797.05221,-0.0002351597
10510535,2026-02-12T22:05:01.991142,HYPE,29.745,29.756,30.023,1.25e-05,23635831.34,703047803.2083,258332123.53537,-0.000393198
10510726,2026-02-12T22:06:01.523807,HYPE,29.741,29.754,30.023,1.25e-05,23635917.5,702955822.3675,258351465.7176,-0.0006184042
10510917,2026-02-12T22:07:01.627721,HYPE,29.69,29.705,30.023,1.25e-05,23631128.94,701608218.2286,258497019.03222,-0.000848342
10511108,2026-02-12T22:08:04.548512,HYPE,29.704,29.718,30.023,1.25e-05,23630878.94,701931628.03376,258512672.94427,-0.0004374453
10511299,2026-02-12T22:09:03.152919,HYPE,29.742,29.755,30.023,1.25e-05,23632774.08,702885966.68736,258622724.35658,0.0
10511490,2026-02-12T22:10:01.397750,HYPE,29.842,29.855,30.023,1.25e-05,23626761.18,705069807.13356,258905452.33372,1.67476e-05
10511681,2026-02-12T22:11:02.508881,HYPE,29.85,29.864,30.023,1.25e-05,23630783.16,705378877.326,259049345.06543,-0.0004353067
10511872,2026-02-12T22:12:02.843393,HYPE,29.882,29.893,30.023,1.25e-05,23632435.56,706184439.40392,259149104.48722,-5.35242e-05
10512063,2026-02-12T22:13:03.668700,HYPE,29.851,29.859,30.023,1.25e-05,23632912.62,705466074.619621,259182751.85909,-0.0003817944
10512254,2026-02-12T22:14:02.296608,HYPE,29.803,29.814,30.023,1.25e-05,23631257.92,704282379.789761,259565257.96965,-0.0002280808
10512445,2026-02-12T22:15:02.691453,HYPE,29.773,29.785,30.023,1.25e-05,23631019.86,703566354.29178,259750162.80235,-0.0002652342
10512636,2026-02-12T22:16:01.629916,HYPE,29.78,29.784,30.023,1.25e-05,23630972.74,703730368.1972,259774655.57593,-0.0001913779
10512827,2026-02-12T22:17:02.077848,HYPE,29.771,29.783,30.023,1.25e-05,23630908.4,703515773.9764,259790427.85729,-0.0004499211
10513018,2026-02-12T22:18:02.099274,HYPE,29.736,29.747,30.023,1.25e-05,23630974.86,702690668.43696,259896349.11284,-0.0002185094
10513209,2026-02-12T22:19:02.685763,HYPE,29.838,29.846,30.023,1.25e-05,23631205.96,705107923.43448,260044708.54879,-0.000157475
