id,snapshot_time,coin,bid_volume,ask_volume,book_imbalance,best_bid,best_ask,spread_avg,buy_aggressor_vol,sell_aggressor_vol,net_aggressor_flow,num_trades,total_volume,whale_buy_vol,whale_sell_vol,whale_net_flow,whale_trade_count,large_trade_count,book_updates
1,2026-02-16T20:43:00,HYPE,12738.49,2398.25,0.830677,30.077,30.078,0.001952,1530.69,1007.9,522.79,82,2538.59,11.78,1.43,10.35,12,0,42
2,2026-02-16T20:43:00,BTC,59.86,51.94,0.584347,68224.0,68225.0,1.238095,6.82,0.42,6.4,345,7.24,0.0,0.58,-0.58,43,1,42
3,2026-02-16T20:44:00,HYPE,3489.69,2668.77,0.618463,30.011,30.014,0.001546,238.61,1139.29,-900.68,95,1377.9,77.28,14.44,62.84,19,0,108
4,2026-02-16T20:44:00,BTC,70.85,44.55,0.62317,68204.0,68205.0,1.055556,2.41,1.21,1.2,156,3.61,0.0,0.07,-0.07,9,1,108
5,2026-02-16T20:45:00,HYPE,3034.75,3383.27,0.481791,30.014,30.021,0.001364,275.86,46.36,229.5,39,322.22,66.09,115.8,-49.71,17,0,110
6,2026-02-16T20:45:00,BTC,115.53,30.21,0.67266,68210.0,68211.0,1.027273,4.28,0.23,4.05,95,4.51,0.0,0.07,-0.07,6,1,110
7,2026-02-16T20:46:00,HYPE,1333.5,3277.05,0.461023,30.006,30.007,0.00189,573.16,499.4,73.76,47,1072.56,66.33,2.86,63.47,20,0,109
8,2026-02-16T20:46:00,BTC,50.45,97.2,0.689149,68207.0,68208.0,1.165138,2.23,1.37,0.86,164,3.6,0.1,0.44,-0.34,13,0,109
9,2026-02-16T20:47:00,HYPE,2825.36,3035.52,0.425124,30.005,30.008,0.0015,182.04,64.93,117.11,51,246.97,66.25,9.63,56.62,18,0,106
10,2026-02-16T20:47:00,BTC,54.64,45.63,0.531292,68192.0,68193.0,1.0,1.65,2.99,-1.34,72,4.64,0.0,0.07,-0.07,5,1,106
11,2026-02-16T20:48:00,HYPE,2586.3,3496.0,0.450635,30.001,30.002,0.002046,77.73,203.98,-126.25,50,281.71,65.58,5.87,59.71,23,0,109
12,2026-02-16T20:48:00,BTC,38.29,63.88,0.583072,68192.0,68193.0,1.009174,0.65,6.0,-5.35,62,6.65,0.0,0.07,-0.07,6,3,109
13,2026-02-16T20:49:00,HYPE,2331.94,2656.95,0.461923,29.996,29.997,0.001,87.18,19.99,67.19,33,107.17,66.13,27.44,38.69,18,0,18
14,2026-02-16T20:49:00,BTC,37.09,62.16,0.387048,68192.0,68193.0,1.0,0.55,0.35,0.2,46,0.9,0.06,0.04,0.02,6,0,18
15,2026-02-16T20:50:00,HYPE,3612.84,5526.4,0.433061,30.017,30.018,0.00162,210.43,9.59,200.84,43,220.02,65.59,32.89,32.7,25,0,108
16,2026-02-16T20:50:00,BTC,107.9,25.93,0.467234,68213.0,68215.0,1.009259,4.62,0.51,4.11,82,5.13,0.12,0.07,0.05,9,2,108
17,2026-02-16T20:52:00,HYPE,4107.5,3242.72,0.467625,30.09,30.093,0.001564,2775.27,18.54,2756.73,136,2793.81,36.96,453.12,-416.16,15,0,39
18,2026-02-16T20:52:00,BTC,118.0,20.38,0.632856,68242.0,68243.0,1.179487,2.1,2.31,-0.21,73,4.41,0.07,0.04,0.03,8,2,39
19,2026-02-16T20:53:00,HYPE,1887.18,2671.1,0.507953,30.147,30.154,0.002718,10782.27,897.99,9884.28,660,11680.26,5090.25,911.14,4179.11,139,0,110
20,2026-02-16T20:53:00,BTC,57.34,44.12,0.655379,68434.0,68435.0,2.681818,186.9,13.66,173.24,1361,200.56,0.73,136.05,-135.32,222,54,110
21,2026-02-16T20:54:00,HYPE,10424.1,1737.31,0.816409,30.282,30.287,0.002639,38508.36,6799.12,31709.24,1530,45307.48,30436.68,4013.36,26423.32,888,4,108
