name,vault,leader,tvl,relationship,depositors_in_db,roster,on_tape
Hyperliquidity Provider (HLP),0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,0x677d831aef5328190852e24f13c46cac05f984e7,187642270,parent,-,-,-
HLP Strategy X,0x469f690213c467c39a23efacfd2816896009d7d8,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,100256792,child,-,-,-
HLP Liquidator 2,0xb0a55f13d22f66e6d495ac98113841b2326e9540,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,30000000,child,-,-,-
[ Systemic Strategies ] L/S Grids,0x07fd993f0fa3a185f7207adccd29f7a87404689d,0x2b804617c6f63c040377e95bb276811747006f4b,15638051,normal,-,-,-
drkmttr,0xc179e03922afe8fa9533d3f896338b9fb87ce0c8,0xf4f7cebbd2c7b6dee34ab29fa55a116eff25239f,12103448,normal,-,-,-
Growi HF,0x1e37a337ed460039d1b15bd3bc489de789768d5e,0x7789450871fb1315fa982ccb8039cb34e8f2f60d,11591008,normal,-,-,-
[ Systemic Strategies ] ♾️ HyperGrowth ♾️,0xd6e56265890b76413d1d527eb9b75e334c0c5b42,0x2b804617c6f63c040377e95bb276811747006f4b,9310551,normal,-,-,-
DOUBLETOP Vault,0x53f8f390fd4f70941c5d160a964f6893c8dbceff,0xfb9c70230c93856c2429384f875d9a896d33d388,5405566,normal,-,-,-
BredoStrategy,0x654016a8c9fcf0c4cb7ed6078aba21f7f399f7b7,0xf5f569a7006860e6e17c92ba9d5959090acf0336,3399462,normal,-,-,-
HLP Strategy A,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,3123175,child,-,-,-
HLP Strategy B,0x31ca8395cf837de08b24da3f660e77761dfb974b,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,3033032,child,-,-,-
Long HYPE & BTC | Short Garbage,0xac26cf5f3c46b5e102048c65b977d2551b72a9c7,0xa380444a9299df2a15bddf949dd493bb6d30d939,2665839,normal,-,-,-
FC Genesis - Quantum,0xa6a34f0bf2ccea9a1ddf9e9a973f17c498dc5e40,0x3d32e286bb737ba348e28823863f02308768cfec,2172757,normal,-,-,-
Bitcoin Moving Average Long/Short,0xb1505ad1a4c7755e0eb236aa2f4327bfc3474768,0x1fa1b4c4cda61b3c1ce805ae82e64a90d8821d08,1972296,normal,-,-,-
Hyperrr,0xca230e816bdb34a46960c2f978a30a563d1ae9e0,0x76184c92c5e17122a496fe1799adc77f4139c96e,1849993,normal,-,-,-
Enjoyooor V3,0x7178cc2d79160d524858c843e350ed8207de0854,0x83046ec02c58df0448e0f4219413c0a16e6d42b9,1838901,normal,-,-,-
Orbit Value Strategies,0x115849ce84370f25cadcf0d348510d73837e1aa5,0xf292b42e6167e0d591449ebd67d2e989a3479edf,1565379,normal,-,-,-
Black Ops,0x49a648936441b22f28f069d3c088928682b277ae,0x970ed103da353023dc6726c04f183b38ce35943c,1342180,normal,-,-,-
Long LINK Short XRP,0x73ce82fb75868af2a687e9889fcf058dd1cf8ce9,0xe2823659be02e0f48a4660e4da008b5e1abfdf29,1279098,normal,-,-,-
AIQuantPulse,0x8231fdf9997c003a267374b45fb25c0455aa1dcb,0xcbdf15e12fc3b8e8fc8bacf577c4d1071cf2b4b3,1201249,normal,-,-,-
Quantitative Market Neutral Strategy,0x14ecb3f4932522b8d508fa6e237e2746a4999feb,0xb6a866e483e5566dfbd7324bc552f11dbed87e7a,1098196,normal,-,-,-
AILAB TEST ULTRA,0x780825f3f0ad6799e304fb843387934c1fa06e70,0x4692441b5a9e26a690eea6d2f36139679add737b,1093882,normal,-,-,-
Ultron,0x45e7014f092c5f9c39482caec131346f13ac5e73,0x8d3f2ecf66c4752fcb6800d892beead654f6c056,1008613,normal,-,-,-
HLP Liquidator 4,0x2ed5c4484ea3ff8b57d5f2fb152a40d9f2b68308,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,1000000,child,-,-,-
HLP Liquidator 3,0x5e177e5e39c0f4e421f5865a6d8beed8d921cb70,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,1000000,child,-,-,-
HLP Liquidator,0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,999999,child,-,-,-
Delta_01,0x3005fade4c0df5e1cd187d7062da359416f0eb8e,0x43c63ea7775a4f7ee93fcdd096f4ff92a9fe4054,887873,normal,-,-,-
