2025-11-22 14:02:23 | INFO | __main__ | Initializing TWAP Tracker with All Coins Support
2025-11-22 14:02:23 | INFO | __main__ | All Coins Tracker enabled (excluding: [])
2025-11-22 14:02:23 | INFO | trader_metrics_manager | Loaded metrics for 1309 traders
2025-11-22 14:02:23 | INFO | trader_metrics_manager | TraderMetricsManager initialized: light=6h, deep=24h
2025-11-22 14:02:23 | INFO | trader_metrics_manager | Filtering: 9 blacklisted, 12 whitelisted sub-$1 tokens
2025-11-22 14:02:23 | INFO | __main__ | Hyperliquid client and metrics manager initialized
2025-11-22 14:02:23 | INFO | __main__ | TWAP Tracker initialized
2025-11-22 14:02:23 | INFO | __main__ | Individual tracking: HYPE
2025-11-22 14:02:23 | INFO | __main__ | All coins tracking: enabled
2025-11-22 14:02:23 | INFO | __main__ | Starting TWAP tracking loop
2025-11-22 14:02:23 | INFO | __main__ | Base cycle: 10s
2025-11-22 14:02:23 | INFO | __main__ | Individual symbols fetch interval: 60s
2025-11-22 14:02:23 | INFO | __main__ | All coins fetch interval: 180s
2025-11-22 14:02:23 | DEBUG | __main__ | Loop cycle #1
2025-11-22 14:02:33 | DEBUG | __main__ | Loop cycle #2
2025-11-22 14:02:43 | DEBUG | __main__ | Loop cycle #3
2025-11-22 14:02:53 | DEBUG | __main__ | Loop cycle #4
2025-11-22 14:03:03 | DEBUG | __main__ | Loop cycle #5
2025-11-22 14:03:13 | DEBUG | __main__ | Loop cycle #6
2025-11-22 14:03:13 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 14:03:17 | INFO | trader_metrics_manager | Registered 1183 new addresses
2025-11-22 14:03:25 | WARNING | __main__ | Cycle 6 took 12.0s, exceeded 10s target
2025-11-22 14:03:25 | DEBUG | __main__ | Loop cycle #7
2025-11-22 14:03:29 | INFO | trader_metrics_manager | ✅ UPUMP: Included - $1955.64 (price: $0.002646)
2025-11-22 14:03:35 | DEBUG | __main__ | Loop cycle #8
2025-11-22 14:03:38 | INFO | trader_metrics_manager | ✅ UBTC: Included - $7109.01 (price: $83668.500000)
2025-11-22 14:03:45 | DEBUG | __main__ | Loop cycle #9
2025-11-22 14:03:49 | INFO | trader_metrics_manager | ✅ HYPE: Included - $231.20 (price: $32.548000)
2025-11-22 14:03:49 | INFO | trader_metrics_manager | ✅ UBTC: Included - $267.56 (price: $83667.500000)
2025-11-22 14:03:55 | DEBUG | __main__ | Loop cycle #10
2025-11-22 14:04:29 | INFO | __main__ | Initializing TWAP Tracker with All Coins Support
2025-11-22 14:04:29 | INFO | __main__ | All Coins Tracker enabled (excluding: [])
2025-11-22 14:04:29 | INFO | trader_metrics_manager | Loaded metrics for 1309 traders
2025-11-22 14:04:29 | INFO | trader_metrics_manager | TraderMetricsManager initialized: light=6h, deep=24h
2025-11-22 14:04:29 | INFO | trader_metrics_manager | Filtering: 9 blacklisted, 12 whitelisted sub-$1 tokens
2025-11-22 14:04:29 | INFO | __main__ | Hyperliquid client and metrics manager initialized
2025-11-22 14:04:29 | INFO | __main__ | TWAP Tracker initialized
2025-11-22 14:04:29 | INFO | __main__ | Individual tracking: HYPE
2025-11-22 14:04:29 | INFO | __main__ | All coins tracking: enabled
2025-11-22 14:04:29 | INFO | __main__ | Starting TWAP tracking loop
2025-11-22 14:04:29 | INFO | __main__ | Base cycle: 10s
2025-11-22 14:04:29 | INFO | __main__ | Individual symbols fetch interval: 60s
2025-11-22 14:04:29 | INFO | __main__ | All coins fetch interval: 180s
2025-11-22 14:04:29 | DEBUG | __main__ | Loop cycle #1
2025-11-22 14:04:39 | DEBUG | __main__ | Loop cycle #2
2025-11-22 14:04:49 | DEBUG | __main__ | Loop cycle #3
2025-11-22 14:04:59 | DEBUG | __main__ | Loop cycle #4
2025-11-22 14:05:09 | DEBUG | __main__ | Loop cycle #5
2025-11-22 14:05:19 | DEBUG | __main__ | Loop cycle #6
2025-11-22 14:05:19 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 14:05:22 | INFO | trader_metrics_manager | Registered 1183 new addresses
2025-11-22 14:05:26 | INFO | trader_metrics_manager | ✅ HYPE: Included - $10752.22 (price: $32.529500)
2025-11-22 14:05:31 | WARNING | __main__ | Cycle 6 took 11.4s, exceeded 10s target
2025-11-22 14:05:31 | DEBUG | __main__ | Loop cycle #7
2025-11-22 14:05:41 | DEBUG | __main__ | Loop cycle #8
2025-11-22 14:05:42 | INFO | __main__ | Shutdown signal received
2025-11-22 14:05:42 | INFO | __main__ | Saving trader metrics...
2025-11-22 14:06:09 | INFO | __main__ | Initializing TWAP Tracker with All Coins Support
2025-11-22 14:06:09 | INFO | __main__ | All Coins Tracker enabled (excluding: [])
2025-11-22 14:06:09 | ERROR | trader_metrics_manager | Error loading metrics: Expecting ':' delimiter: line 30287 column 27 (char 928925)
2025-11-22 14:06:09 | INFO | trader_metrics_manager | TraderMetricsManager initialized: light=6h, deep=24h
2025-11-22 14:06:09 | INFO | trader_metrics_manager | Filtering: 9 blacklisted, 12 whitelisted sub-$1 tokens
2025-11-22 14:06:09 | INFO | __main__ | Hyperliquid client and metrics manager initialized
2025-11-22 14:06:09 | INFO | __main__ | TWAP Tracker initialized
2025-11-22 14:06:09 | INFO | __main__ | Individual tracking: HYPE
2025-11-22 14:06:09 | INFO | __main__ | All coins tracking: enabled
