question,slug,condition_id,yes_price,no_price,volume_total_usd,volume_24h_usd,liquidity_usd,spread,start_date,end_date,closed,active,category,url
"Will Hyperliquid dip to $16 by December 31, 2026?",will-hyperliquid-dip-to-16-by-december-31-2026,0x8555a03570e1eb69c94ab5d41796058d8fcb9e909a6464e6cec9ff85d199b7bf,0.09,0.91,117554.524342,34510.349148,40805.7276,0.02,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-16-by-december-31-2026
"Will Hyperliquid reach $100 by December 31, 2026?",will-hyperliquid-reach-100-by-december-31-2026,0xeae133a71045c94ab57717d3f4aab62758e2a915a27f9606e383024975264467,0.3,0.7,234771.75015099926,15296.464235,27213.9813,0.01,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-reach-100-by-december-31-2026
"Will Hyperliquid dip to $8 by December 31, 2026?",will-hyperliquid-dip-to-8-by-december-31-2026,0x587313a1b7d4eae36578004e3333e3d8bc9159177ecd255ff61b947a4e636b02,0.032,0.968,170781.78695199985,11725.011217,75278.52056,0.004,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-8-by-december-31-2026
Will HYPE flip SOL by December 31?,will-hype-flip-sol-by-december-31,0x0188297b3b68b403d98b82281f12f07fe041d3277edcb8f733e9282d3abfeb76,0.18,0.82,107212.63142799988,7723.487687999999,16723.4167,0.02,2026-04-28,2026-12-31,False,True,,https://polymarket.com/event/will-hype-flip-sol-by-december-31
"Will Hyperliquid reach $80 by December 31, 2026?",will-hyperliquid-reach-80-by-december-31-2026,0xc2b3271feb6086186483f74883b31cf018996505827f4a23a1cc86ef03c5d9c4,0.57,0.43,31798.40639400002,4487.016451,5311.269,0.06,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-reach-80-by-december-31-2026
Will Hyperliquid dip to $38 in May?,will-hyperliquid-dip-to-38-in-may,0x32a7802c1c0c93e871bd31ead2fd1152603a006d9e0119da722e3fedbee448e9,0.029,0.971,10509.440111999998,3933.6745989999995,12947.17494,0.005,2026-05-02,2026-06-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-38-in-may
Will Hyperliquid dip to $28 in May?,will-hyperliquid-dip-to-28-in-may,0x8baed3012eac2f172d630ec97b0e1fbad99462405c46d1a65038967d73befdbe,0.004,0.996,13131.718070000003,2511.613664,22136.47311,0.002,2026-05-02,2026-06-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-28-in-may
"Will Hyperliquid reach $66 by December 31, 2026?",will-hyperliquid-reach-66-by-december-31-2026,0xda041e02c4a9a6d935a85c0c81663a20561859e4de0d3f53a29864b4eb577e27,0.83,0.17,35148.52611099997,2282.51722,1731.7215,0.08,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-reach-66-by-december-31-2026
FDA approves Cingulate's Ctx-1301?,fda-approves-cingulates-ctx-1301,0xd875a7397c450d59deff30a9c696422d14db52db14087c8540380567880e2e36,0.25,0.75,2274.0927749999996,2274.092775,1390.3504,0.04,2026-05-20,2026-05-31,False,True,,https://polymarket.com/event/fda-approves-cingulates-ctx-1301
"Will Hyperliquid dip to $12 by December 31, 2026?",will-hyperliquid-dip-to-12-by-december-31-2026,0x8f9956410b9b8ef4c112ea03800920bc445deff855d57fb156c9ab9b56aecc8a,0.06,0.94,156307.68017700023,1347.166665,43847.0851,0.02,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-12-by-december-31-2026
Will Hyperliquid dip to $24 in May?,will-hyperliquid-dip-to-24-in-may,0x2ffb125ba4524a24ddb3a3a5671d57d1290f75989a97e4281a404aec6903913f,0.002,0.998,38510.04213200002,1172.288859,14778.76824,0.003,2026-05-02,2026-06-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-24-in-may
Will Hyperliquid dip to $32 in May?,will-hyperliquid-dip-to-32-in-may,0x85cc00f5ee6bf357b63a4600d041f89175b9d4c42bc7d3308811fb0ab4885a81,0.027,0.973,6250.73622,1170.37,943.10128,0.016,2026-05-02,2026-06-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-32-in-may
"Will Hyperliquid dip to $20 by December 31, 2026?",will-hyperliquid-dip-to-20-by-december-31-2026,0xa4cab194f7487ecbe058aa8278a45a51487afe828af6c3c2eed5b096639c23e9,0.195,0.805,95850.44115999973,590.150494,8793.83545,0.07,2025-11-24,2027-01-01,False,True,,https://polymarket.com/event/will-hyperliquid-dip-to-20-by-december-31-2026
"Will Hyperliquid perform an airdrop by December 31, 2026? ",will-hyperliquid-perform-an-airdrop-by-december-31-2026,0xfa88bedd0403281fac1b3c8b310755040aabed8ba12ded1b2e3205a3d05a4a28,0.17,0.83,117282.33692500016,398.114046,4704.1864,0.02,2025-10-05,,False,True,,https://polymarket.com/event/will-hyperliquid-perform-an-airdrop-by-december-31-2026
